day,pool,TVL
2022-01-01T00:00:00,BB-A-USD (7b507753),30274548.96647442
2022-01-02T00:00:00,BB-A-USD (7b507753),30274548.96647442
2022-01-03T00:00:00,BB-A-USD (7b507753),31147784.819943056
2022-01-04T00:00:00,BB-A-USD (7b507753),31166381.51075077
2022-01-05T00:00:00,BB-A-USD (7b507753),31166381.51075077
2022-01-06T00:00:00,BB-A-USD (7b507753),31166381.51075077
2022-01-07T00:00:00,BB-A-USD (7b507753),27986357.24672991
2022-01-08T00:00:00,BB-A-USD (7b507753),28326835.59666469
2022-01-09T00:00:00,BB-A-USD (7b507753),31885734.759252533
2022-01-10T00:00:00,BB-A-USD (7b507753),31645924.533923585
2022-01-11T00:00:00,BB-A-USD (7b507753),31088401.915878028
2022-01-12T00:00:00,BB-A-USD (7b507753),30343265.642199434
2022-01-13T00:00:00,BB-A-USD (7b507753),30342674.68823643
2022-01-14T00:00:00,BB-A-USD (7b507753),30342674.68823643
2022-01-15T00:00:00,BB-A-USD (7b507753),29841873.874087892
2022-01-16T00:00:00,BB-A-USD (7b507753),27037000.87519288
2022-01-17T00:00:00,BB-A-USD (7b507753),34103614.03109752
2022-01-18T00:00:00,BB-A-USD (7b507753),32246257.525552116
2022-01-19T00:00:00,BB-A-USD (7b507753),33488763.569553204
2022-01-20T00:00:00,BB-A-USD (7b507753),33488619.39074961
2022-01-21T00:00:00,BB-A-USD (7b507753),33488619.39074961
2022-01-22T00:00:00,BB-A-USD (7b507753),30729841.515628524
2022-01-23T00:00:00,BB-A-USD (7b507753),30926188.722236864
2022-01-24T00:00:00,BB-A-USD (7b507753),37755924.402847536
2022-01-25T00:00:00,BB-A-USD (7b507753),38486209.14769892
2022-01-26T00:00:00,BB-A-USD (7b507753),49583082.113229066
2022-01-27T00:00:00,BB-A-USD (7b507753),67570880.35718349
2022-01-28T00:00:00,BB-A-USD (7b507753),70522302.61774242
2022-01-29T00:00:00,BB-A-USD (7b507753),70537327.8535799
2022-01-30T00:00:00,BB-A-USD (7b507753),70542951.01640707
2022-01-31T00:00:00,BB-A-USD (7b507753),72357654.6105699
2022-02-01T00:00:00,BB-A-USD (7b507753),76252541.56645024
2022-02-02T00:00:00,BB-A-USD (7b507753),76262461.90137868
2022-02-03T00:00:00,BB-A-USD (7b507753),77760934.52591254
2022-02-04T00:00:00,BB-A-USD (7b507753),91914037.60004741
2022-02-05T00:00:00,BB-A-USD (7b507753),94524353.18402517
2022-02-06T00:00:00,BB-A-USD (7b507753),95125562.8285576
2022-02-07T00:00:00,BB-A-USD (7b507753),95750553.67240211
2022-02-08T00:00:00,BB-A-USD (7b507753),97738760.25777964
2022-02-09T00:00:00,BB-A-USD (7b507753),99631662.62350023
2022-02-10T00:00:00,BB-A-USD (7b507753),99631662.62350023
2022-02-11T00:00:00,BB-A-USD (7b507753),106172888.76007801
2022-02-12T00:00:00,BB-A-USD (7b507753),107430681.595478
2022-02-13T00:00:00,BB-A-USD (7b507753),107527960.28023612
2022-02-14T00:00:00,BB-A-USD (7b507753),104858997.41438073
2022-02-15T00:00:00,BB-A-USD (7b507753),104862994.12654081
2022-02-16T00:00:00,BB-A-USD (7b507753),103850291.95804816
2022-02-17T00:00:00,BB-A-USD (7b507753),104403420.29169044
2022-02-18T00:00:00,BB-A-USD (7b507753),99289646.75381231
2022-02-19T00:00:00,BB-A-USD (7b507753),98747106.85916495
2022-02-20T00:00:00,BB-A-USD (7b507753),99180761.28717172
2022-02-21T00:00:00,BB-A-USD (7b507753),98115789.25513352
2022-02-22T00:00:00,BB-A-USD (7b507753),99127134.62685391
2022-02-23T00:00:00,BB-A-USD (7b507753),103462997.37446702
2022-02-24T00:00:00,BB-A-USD (7b507753),102005499.80744082
2022-02-25T00:00:00,BB-A-USD (7b507753),101663047.08962676
2022-02-26T00:00:00,BB-A-USD (7b507753),100911732.9510662
2022-02-27T00:00:00,BB-A-USD (7b507753),100911732.9510662
2022-02-28T00:00:00,BB-A-USD (7b507753),100486576.97198886
2022-03-01T00:00:00,BB-A-USD (7b507753),97930388.83955213
2022-03-02T00:00:00,BB-A-USD (7b507753),98115573.1877017
2022-03-03T00:00:00,BB-A-USD (7b507753),101157309.05774273
2022-03-04T00:00:00,BB-A-USD (7b507753),103458204.33827876
2022-03-05T00:00:00,BB-A-USD (7b507753),103691286.02468449
2022-03-06T00:00:00,BB-A-USD (7b507753),103693218.58089936
2022-03-07T00:00:00,BB-A-USD (7b507753),101321181.75786394
2022-03-08T00:00:00,BB-A-USD (7b507753),97591917.4139348
2022-03-09T00:00:00,BB-A-USD (7b507753),97161891.12664846
2022-03-10T00:00:00,BB-A-USD (7b507753),97953618.02355555
2022-03-11T00:00:00,BB-A-USD (7b507753),96770445.98004432
2022-03-12T00:00:00,BB-A-USD (7b507753),96907359.09434673
2022-03-13T00:00:00,BB-A-USD (7b507753),97139401.85928786
2022-03-14T00:00:00,BB-A-USD (7b507753),99657126.13487369
2022-03-15T00:00:00,BB-A-USD (7b507753),99765324.4483532
2022-03-16T00:00:00,BB-A-USD (7b507753),99661623.39673969
2022-03-17T00:00:00,BB-A-USD (7b507753),99732398.80435163
2022-03-18T00:00:00,BB-A-USD (7b507753),99732398.80435163
2022-03-19T00:00:00,BB-A-USD (7b507753),99832165.99383956
2022-03-20T00:00:00,BB-A-USD (7b507753),99832165.99383956
2022-03-21T00:00:00,BB-A-USD (7b507753),99820701.2522704
2022-03-22T00:00:00,BB-A-USD (7b507753),98511952.09148476
2022-03-23T00:00:00,BB-A-USD (7b507753),98681268.74165699
2022-03-24T00:00:00,BB-A-USD (7b507753),98930980.50053671
2022-03-25T00:00:00,BB-A-USD (7b507753),98548537.72166461
2022-03-26T00:00:00,BB-A-USD (7b507753),98865468.23528627
2022-03-27T00:00:00,BB-A-USD (7b507753),99086158.80750577
2022-03-28T00:00:00,BB-A-USD (7b507753),100177002.83130494
2022-03-29T00:00:00,BB-A-USD (7b507753),101163826.86233363
2022-03-30T00:00:00,BB-A-USD (7b507753),101300133.43618807
2022-03-31T00:00:00,BB-A-USD (7b507753),101596231.55593382
2022-04-01T00:00:00,BB-A-USD (7b507753),102589252.51780051
2022-04-02T00:00:00,BB-A-USD (7b507753),103008737.76126222
2022-04-03T00:00:00,BB-A-USD (7b507753),103952542.86097997
2022-04-04T00:00:00,BB-A-USD (7b507753),106353246.65135202
2022-04-05T00:00:00,BB-A-USD (7b507753),106452691.6594337
